Customer ID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score
BT-11305,336,5,2567.656,1,2,3,123
BT-11395,302,6,2186.6130000000003,1,2,2,122
BT-11440,560,4,603.876,1,1,1,111
BT-11485,659,2,415.19599999999997,1,1,1,111
BT-11530,91,5,2684.4919999999997,2,2,3,223
BT-11680,20,7,3196.752,4,3,3,433
BV-11245,334,5,1523.2730000000001,1,2,2,122
BW-11065,212,3,385.516,1,1,1,111
BW-11110,121,8,4750.358,2,3,4,234
BW-11200,203,6,1738.406,1,2,2,122
CA-11965,96,6,3789.7228,2,2,4,224
CA-12055,401,5,1679.7240000000002,1,2,2,122
CA-12265,56,9,2648.2872,3,4,3,343
CA-12310,13,4,1421.954,4,1,2,412
CA-12775,120,7,3041.566,2,3,3,233
CB-12025,47,10,6076.139,3,4,4,344
CB-12415,26,8,1949.2,4,3,2,432
CB-12535,197,8,4246.4555,1,3,4,134
CC-12100,457,6,1770.945,1,2,2,122
CC-12145,106,7,2471.65,2,3,3,233
CC-12220,20,12,3913.418,4,4,4,444
CC-12370,43,5,12129.072000000002,3,2,4,324
CC-12430,0,10,2870.05,4,4,3,443
CC-12475,39,9,1659.438,3,4,2,342
CC-12550,27,3,113.832,4,1,1,411
CC-12610,34,7,2540.631,3,3,3,333
CC-12670,29,7,2269.7015,4,3,3,433
CC-12685,799,4,2854.1150000000002,1,1,3,113
CD-11920,40,5,2033.968,3,2,2,322
CD-11980,54,3,639.766,3,1,1,311
CD-12280,42,2,1205.584,3,1,2,312
CD-12790,399,5,1860.732,1,2,2,122
CG-12040,49,6,904.4680000000001,3,2,1,321
CG-12520,338,3,1148.7800000000002,1,1,2,112
CH-12070,691,3,1537.236,1,1,2,112
CJ-11875,365,1,16.52,1,1,1,111
CJ-12010,189,8,11164.974,1,3,4,134
CK-12205,39,13,3154.855,3,4,3,343
CK-12325,120,5,2945.321,2,2,3,223
CK-12595,43,11,2372.75,3,4,3,343
CK-12760,82,9,1582.109,2,4,2,242
CL-11890,106,4,1262.0140000000001,2,1,2,212
CL-12565,284,12,10880.546,1,4,4,144
CL-12700,105,5,2353.586,2,2,3,223
CM-11815,131,6,1673.888,2,2,2,222
CM-11935,708,2,565.392,1,1,1,111
CM-12115,8,4,1661.6100000000001,4,1,2,412
CM-12160,26,6,2533.314,4,2,3,423
CM-12190,8,6,1475.144,4,2,2,422
CM-12235,385,5,2305.712,1,2,3,123
CM-12385,37,4,8954.019999999999,3,1,4,314
CM-12445,436,3,287.99,1,1,1,111
CM-12655,27,6,6339.5576,4,2,4,424
CM-12715,1035,4,3984.4524,1,1,4,114
CP-12085,82,8,5402.254,2,3,4,234
CP-12340,160,8,5888.275,2,3,4,234
CR-12580,57,4,2148.852,3,1,2,312
CR-12625,470,3,475.9,1,1,1,111
CR-12730,78,4,1600.55,2,1,2,212
CR-12820,85,3,1397.8724,2,1,2,212
CS-11845,91,5,1278.954,2,2,2,222
CS-11860,162,6,537.632,2,2,1,221
CS-11950,25,11,3036.547,4,4,3,443
CS-12130,489,4,884.64,1,1,1,111
CS-12175,232,5,844.4580000000001,1,2,1,121
CS-12250,26,12,2754.216,4,4,3,443
CS-12355,6,11,3202.1620000000003,4,4,3,443
CS-12400,2,9,3651.8585000000003,4,4,3,443
CS-12460,27,2,550.644,4,1,1,411
CS-12490,424,4,1077.2285,1,1,1,111
CS-12505,58,6,5690.054999999999,3,2,4,324
CT-11995,96,8,3241.898,2,3,3,233
CV-12295,254,5,2830.6279999999997,1,2,3,123
CV-12805,5,9,2370.3136,4,4,3,443
CW-11905,22,6,1136.592,4,2,1,421
CY-12745,60,8,2900.026,3,3,3,333
Co-12640,549,5,1300.076,1,2,2,122
DA-13450,352,4,156.76,1,1,1,111
DB-12910,21,8,2171.599,4,3,2,432
DB-12970,241,5,2839.2272,1,2,3,123
DB-13060,16,7,4531.646,4,3,4,434
DB-13120,48,7,2973.094,3,3,3,333
DB-13210,9,10,2332.577,4,4,3,443
DB-13270,53,8,4655.897,3,3,4,334
DB-13360,264,5,1081.466,1,2,1,121
DB-13405,187,4,1711.692,1,1,2,112
DB-13555,107,7,3908.8028,2,3,4,234
DB-13615,33,7,1989.05,3,3,2,332
DB-13660,12,7,1155.202,4,3,2,432
DC-12850,37,9,3336.168,3,4,3,343
DC-13285,23,5,1174.618,4,2,2,422
DD-13570,41,6,269.542,3,2,1,321
DE-13255,719,5,2550.874,1,2,3,123
DF-13135,700,3,2390.534,1,1,3,113
DG-13300,32,5,3195.818,3,2,3,323
DH-13075,277,6,4932.872,1,2,4,124
DH-13675,776,4,1043.096,1,1,1,111
DJ-13420,637,4,2012.52,1,1,2,112
DJ-13510,48,8,2501.6879999999996,3,3,3,333
DJ-13630,12,3,3356.398,4,1,3,413
DK-12835,21,12,3256.48,4,4,3,443
DK-12895,45,5,4282.176,3,2,4,324
DK-12985,7,5,1687.04,4,2,2,422
DK-13090,42,7,2650.557,3,3,3,333
DK-13150,10,2,797.832,4,1,1,411
DK-13225,10,9,4802.394,4,4,4,444
DK-13375,19,8,3318.486,4,3,3,433
DL-12865,100,8,1503.112,2,3,2,232
DL-12925,57,6,3272.2,3,2,3,323
DL-13315,22,8,1458.258,4,3,2,432
DL-13330,57,4,585.02,3,1,1,311
DL-13495,76,8,3539.322,2,3,3,233
DM-12955,114,7,1322.034,2,3,2,232
DM-13015,57,7,6345.103,3,3,4,334
DM-13345,22,8,4074.4719999999998,4,3,4,434
DM-13525,481,3,1376.792,1,1,2,112
DN-13690,217,7,2139.79,1,3,2,132
DO-13435,133,9,1300.0315,2,4,2,242
DO-13645,26,7,1267.316,4,3,2,432
DP-13000,126,9,1050.636,2,4,1,241
DP-13105,6,8,2215.002,4,3,2,432
DP-13165,812,2,1058.616,1,1,1,111
DP-13390,358,9,5480.723999999999,1,4,4,144
DR-12880,3,9,6528.034000000001,4,4,4,444
DR-12940,50,8,8350.868,3,3,4,334
DS-13030,93,4,1762.213,2,1,2,212
DS-13180,23,9,2881.8128,4,4,3,443
DV-13045,19,5,1119.483,4,2,1,421
DV-13465,29,6,3341.587,4,2,3,423
DW-13195,69,6,1080.751,3,2,1,321
DW-13480,217,5,5271.628,1,2,4,124
DW-13540,98,5,344.08,2,2,1,221
DW-13585,242,7,1204.854,1,3,2,132
Dl-13600,119,5,755.602,2,2,1,221
Dp-13240,84,11,7198.7609999999995,2,4,4,244
EA-14035,152,13,2846.705,2,4,3,243
EB-13705,48,9,3644.978,3,4,3,343
EB-13750,35,10,3236.314,3,4,3,343
EB-13840,90,5,4358.128,2,2,4,224
EB-13870,100,10,2767.219,2,4,3,243
EB-13930,161,5,944.6000000000001,2,2,1,221
EB-13975,0,4,1643.255,4,1,2,412
EB-14110,113,6,3071.126,2,2,3,223
EB-14170,82,6,1186.326,2,2,2,222
EC-14050,53,5,461.914,3,2,1,321
ED-13885,135,8,3484.92,2,3,3,233
EG-13900,22,5,1832.02,4,2,2,422
EH-13765,135,12,10310.880000000001,2,4,4,244
EH-13945,217,8,684.1709999999999,1,3,1,131
EH-13990,405,6,825.9499999999999,1,2,1,121
EH-14005,2,7,1219.53,4,3,2,432
EH-14125,152,10,3082.653,2,4,3,243
EH-14185,105,6,923.884,2,2,1,221
EJ-13720,302,4,2162.174,1,1,2,112
EJ-14155,57,5,2656.691,3,2,3,323
EK-13795,44,4,1303.478,3,1,2,312
EL-13735,77,2,124.28,2,1,1,211
EM-13810,132,5,2567.0099999999998,2,2,3,223
EM-13825,55,8,2339.598,3,3,3,333
EM-13960,151,5,933.704,2,2,1,221
EM-14065,47,4,228.99,3,1,1,311
EM-14095,113,4,1041.0420000000001,2,1,1,211
EM-14140,48,6,4588.436000000001,3,2,4,324
EM-14200,158,3,366.822,2,1,1,211
EN-13780,287,4,2199.366,1,1,2,112
EP-13915,12,17,5478.0608,4,4,4,444
ER-13855,421,3,1245.788,1,1,2,112
ES-14020,40,5,3510.4579999999996,3,2,3,323
ES-14080,28,9,4657.924,4,4,4,444
FA-14230,97,7,2984.054,2,3,3,233
FC-14245,70,7,3418.742,3,3,3,333
FC-14335,184,7,3889.366,1,3,4,134
FG-14260,34,7,1383.144,3,3,2,332
FH-14275,37,10,4256.272,3,4,4,344
FH-14350,212,4,2271.284,1,1,3,113
FH-14365,5,8,6987.196,4,3,4,434
FM-14215,7,10,2456.638,4,4,3,443
FM-14290,36,9,3736.198,3,4,3,343
FM-14380,145,9,2523.266,2,4,3,243
FO-14305,38,10,2678.438,3,4,3,343
FP-14320,23,8,4046.746,4,3,4,434
FW-14395,362,3,79.75,1,1,1,111
GA-14515,149,8,3919.7760000000003,2,3,4,234
GA-14725,5,11,1398.382,4,4,2,442
GB-14530,62,11,1568.44,3,4,2,342
GB-14575,13,5,4716.288,4,2,4,424
GD-14590,5,4,1888.07,4,1,2,412
GG-14650,43,9,2224.0,3,4,2,342
GH-14410,75,9,2819.4669999999996,3,4,3,343
GH-14425,50,4,4172.8460000000005,3,1,4,314
GH-14485,387,2,1361.2440000000001,1,1,2,112
GH-14665,2,2,146.94080000000002,4,1,1,411
GK-14620,112,9,6497.27,2,4,4,244
GM-14440,83,7,3582.8199999999997,2,3,3,233
GM-14455,16,6,3078.624,4,2,3,423
GM-14500,106,10,1255.682,2,4,2,242
GM-14680,152,6,3163.628,2,2,3,223
GM-14695,117,3,6049.966,2,1,4,214
GP-14740,765,2,236.53,1,1,1,111
GR-14560,1135,2,1284.38,1,1,2,112
GT-14635,56,3,9351.212,3,1,4,314
GT-14710,36,11,11820.119999999999,3,4,4,344
GT-14755,34,4,226.436,3,1,1,311
GW-14605,28,7,2189.019,4,3,2,432
GZ-14470,7,9,4355.150000000001,4,4,4,444
GZ-14545,157,4,2454.6220000000003,2,1,3,213
HA-14905,69,7,2163.3,3,3,2,332
HA-14920,20,8,2584.158,4,3,3,433
HD-14785,769,3,251.36,1,1,1,111
HE-14800,12,4,883.5319999999999,4,1,1,411
HF-14995,21,7,2533.1639999999998,4,3,3,433
HG-14845,54,5,785.628,3,2,1,321
HG-14965,23,12,3247.642,4,4,3,443
HG-15025,6,7,3690.284,4,3,3,433
HH-15010,72,2,218.668,3,1,1,311
HJ-14875,126,5,358.1,2,2,1,221
HK-14890,151,8,4877.784,2,3,4,234
HL-15040,43,6,12873.297999999999,3,2,4,324
HM-14860,2,10,8236.7648,4,4,4,444
HM-14980,247,4,736.276,1,1,1,111
HP-14815,30,7,1990.314,4,3,2,432
HR-14770,13,5,1299.288,4,2,2,422
HR-14830,159,7,5248.787,2,3,4,234
HW-14935,117,8,9300.254,2,3,4,234
HZ-14950,35,5,886.52,3,2,1,321
IG-15085,71,4,744.574,3,1,1,311
IL-15100,142,7,5040.736,2,3,4,234
IM-15055,409,3,2872.63,1,1,3,113
IM-15070,390,7,4930.474,1,3,4,134
JA-15970,92,8,6491.026,2,3,4,234
JB-15400,7,10,1791.605,4,4,2,442
JB-15925,737,3,900.552,1,1,1,111
JB-16000,43,7,644.1188,3,3,1,331
JB-16045,7,5,2518.115,4,2,3,423
JC-15340,114,4,71.263,2,1,1,211
JC-15385,175,1,1058.108,2,1,1,211
JC-15775,158,9,2772.055,2,4,3,243
JC-16105,57,5,858.576,3,2,1,321
JD-15790,117,5,2152.352,2,2,2,222
JD-15895,394,11,7610.8640000000005,1,4,4,144
JD-16015,112,6,385.43,2,2,1,221
JD-16060,300,3,695.442,1,1,1,111
JD-16150,41,8,8828.0305,3,3,4,334
JE-15475,193,6,1388.682,1,2,2,122
JE-15610,48,7,7754.976,3,3,4,334
JE-15715,46,10,8697.842999999999,3,4,4,344
JE-15745,51,13,6760.8150000000005,3,4,4,344
JE-16165,20,3,2697.248,4,1,3,413
JF-15190,65,7,2279.5860000000002,3,3,3,333
JF-15295,225,5,955.124,1,2,1,121
JF-15355,105,6,1911.844,2,2,2,222
JF-15415,2,6,2371.448,4,2,3,423
JF-15490,121,11,1082.918,2,4,1,241
JF-15565,54,8,4198.332,3,3,4,334
JG-15115,758,3,2358.676,1,1,3,113
JG-15160,1,11,6366.392,4,4,4,444
JG-15310,2,6,2240.58,4,2,2,422
JG-15805,223,6,1507.018,1,2,2,122
JH-15430,5,4,309.281,4,1,1,411
JH-15820,174,6,528.91,2,2,1,221
JH-15910,41,7,959.477,3,3,1,331
JH-15985,29,6,7954.9980000000005,4,2,4,424
JH-16180,404,4,2256.3940000000002,1,1,2,112
JJ-15445,483,5,709.178,1,2,1,121
JJ-15760,753,2,195.0,1,1,1,111
JK-15205,61,5,4427.142,3,2,4,324
JK-15325,287,3,383.812,1,1,1,111
JK-15370,44,8,2709.632,3,3,3,333
JK-15625,61,7,3760.028,3,3,3,333
JK-15640,180,9,4760.434,2,4,4,244
JK-15730,84,10,4867.2,2,4,4,244
JK-16090,28,3,3747.668,4,1,3,413
JK-16120,117,10,2932.484,2,4,3,243
JL-15130,8,6,1214.956,4,2,2,422
JL-15175,6,5,1571.523,4,2,2,422
JL-15235,119,5,2203.7,2,2,2,222
JL-15505,49,6,3173.874,3,2,3,323
JL-15835,21,11,9799.923,4,4,4,444
JL-15850,614,6,2725.256,1,2,3,123
JM-15250,37,6,3159.1220000000003,3,2,3,323
JM-15265,37,5,1804.146,3,2,2,322
JM-15535,102,7,1733.443,2,3,2,232
JM-15580,0,5,303.948,4,2,1,421
JM-15655,8,5,864.947,4,2,1,421
JM-15865,109,7,7625.076000000001,2,3,4,234
JM-16195,57,10,2833.9260000000004,3,4,3,343
JO-15145,57,9,3254.949,3,4,3,343
JO-15280,92,6,1934.272,2,2,2,222
JO-15550,215,5,1090.838,1,2,1,121
JP-15460,37,7,1669.135,3,3,2,332
JP-15520,8,7,3635.594,4,3,3,433
JP-16135,102,9,1707.71,2,4,2,242
JR-15670,593,2,1156.658,1,1,2,112
JR-15700,68,1,863.88,3,1,1,311
JR-16210,33,5,2201.686,3,2,2,322
JS-15595,119,4,1417.654,2,1,2,212
JS-15685,42,4,1131.0639999999999,3,1,1,311
JS-15880,534,5,3868.02,1,2,4,124
JS-15940,463,5,469.169,1,2,1,121
JS-16030,28,6,2516.494,4,2,3,423
JW-15220,42,6,7721.714,3,2,4,324
JW-15955,5,7,1244.086,4,3,2,432
JW-16075,461,4,1428.731,1,1,2,112
KA-16525,36,7,1519.506,3,3,2,332
KB-16240,4,7,3152.6150000000002,4,3,3,433
KB-16315,296,9,1569.464,1,4,2,142
KB-16405,117,3,908.821,2,1,1,211
KB-16585,230,12,2744.742,1,4,3,143
KB-16600,1,7,983.922,4,3,1,431
KC-16255,407,6,2120.954,1,2,2,122
KC-16540,97,4,3908.262,2,1,4,214
KC-16675,57,4,1146.05,3,1,1,311
KD-16270,484,5,8282.358,1,2,4,124
KD-16345,41,6,1888.964,3,2,2,322
KD-16495,112,12,8181.256,2,4,4,244
KD-16615,289,5,2243.5099999999998,1,2,2,122
KE-16420,26,8,1686.7312,4,3,2,432
KF-16285,97,7,10604.266,2,3,4,234
KH-16330,40,8,3312.864,3,3,3,333
KH-16360,1,6,3100.612,4,2,3,423
KH-16510,22,7,5952.859,4,3,4,434
KH-16630,58,9,3918.9660000000003,3,4,4,344
KH-16690,2,7,5990.799,4,3,4,434
KL-16555,16,8,5016.488,4,4,4,444
KL-16645,47,12,14175.229000000001,3,4,4,344
KM-16225,14,6,2260.958,4,2,3,423
KM-16375,56,8,5620.186,3,4,4,344
KM-16660,15,5,453.538,4,2,1,421
KM-16720,28,8,4909.472,4,4,4,444
KN-16390,19,9,2617.272,4,4,3,443
KN-16450,52,5,2171.962,3,2,2,322
KN-16705,98,8,2280.58,2,4,3,243
KS-16300,295,3,88.472,1,1,1,111
KT-16465,391,7,3057.1,1,3,3,133
KT-16480,100,10,4642.088400000001,2,4,4,244
KW-16435,96,5,4416.5199999999995,2,2,4,224
KW-16570,771,4,449.096,1,1,1,111
LA-16780,154,11,8673.222,2,4,4,244
LB-16735,48,3,50.188,3,1,1,311
LB-16795,152,8,4985.676,2,4,4,244
LC-16870,27,8,2580.7039999999997,4,4,3,443
LC-16885,16,12,7663.126,4,4,4,444
LC-16930,41,8,4492.946,3,4,4,344
LC-16960,436,4,3246.626,1,1,3,113
LC-17050,54,5,2095.064,3,2,2,322
LC-17140,13,9,2633.582,4,4,3,443
LD-16855,552,1,5.304,1,1,1,111
LD-17005,414,4,1961.934,1,1,2,112
LE-16810,21,6,1469.45,4,2,2,422
LF-17185,22,7,3930.5089999999996,4,3,4,434
LH-16750,151,3,287.426,2,1,1,211
LH-16900,21,9,2295.332,4,4,3,443
LH-17020,239,4,318.239,1,1,1,111
LH-17155,385,9,1739.689,1,4,2,142
LL-16840,249,6,2741.2039999999997,1,2,3,123
LM-17065,391,5,1346.774,1,2,2,122
LO-17170,2,5,644.35,4,2,1,421
LP-17080,40,4,756.606,3,1,1,311
LP-17095,9,7,3653.399,4,3,3,433
LR-16915,26,6,5142.892,4,2,4,424
LR-17035,132,5,1879.306,2,2,2,222
LS-16945,178,6,2845.27,2,2,3,223
LS-16975,20,9,2988.674,4,4,3,443
LS-17200,96,6,1010.2560000000001,2,2,1,221
LS-17230,777,3,368.88000000000005,1,1,1,111
LS-17245,34,6,1008.1360000000001,3,2,1,321
LT-16765,26,3,329.876,4,1,1,411
LT-17110,34,8,2936.252,3,4,3,343
LW-16825,88,5,2238.061,2,2,2,222
LW-16990,33,6,3230.308,3,2,3,323
LW-17125,205,3,1259.04,1,1,2,112
LW-17215,21,7,5420.514,4,3,4,434
MA-17560,64,11,4299.161,3,4,4,344
MA-17995,186,6,2453.284,1,2,3,123
MB-17305,48,10,1548.702,3,4,2,342
MB-18085,44,7,1428.231,3,3,2,332
MC-17275,76,8,2725.982,2,4,3,243
MC-17425,399,5,4432.138,1,2,4,124
MC-17575,27,8,1303.893,4,4,2,442
MC-17590,51,6,2426.067,3,3,3,333
MC-17605,112,8,2258.192,2,4,3,243
MC-17635,189,4,795.154,1,1,1,111
MC-17845,1,7,3805.714,4,3,4,434
MC-18100,41,10,2218.98,3,4,2,342
MC-18130,369,5,1581.9979999999998,1,2,2,122
MD-17350,117,7,3766.382,2,3,3,233
MD-17860,36,5,1204.91,3,2,2,322
ME-17320,42,10,10663.728000000001,3,4,4,344
ME-17725,28,8,1908.4532,4,4,2,442
ME-18010,92,4,1256.944,2,1,2,212
MF-17665,421,5,937.039,1,2,1,121
MF-18250,7,5,1758.3,4,2,2,422
MG-17650,29,7,3785.276,4,3,3,433
MG-17680,92,4,2350.188,2,1,3,213
MG-17695,555,3,1342.282,1,1,2,112
MG-17875,116,5,1242.8329999999999,2,2,2,222
MG-17890,99,9,776.384,2,4,1,241
MG-18145,84,4,3061.543,2,1,3,213
MG-18205,264,1,16.739,1,1,1,111
MH-17290,119,6,2394.025,2,3,3,233
MH-17440,376,4,400.016,1,1,1,111
MH-17455,85,8,2456.1820000000002,2,4,3,243
MH-17620,155,4,1252.8,2,1,2,212
MH-17785,98,7,2203.7780000000002,2,3,2,232
MH-18025,49,5,2984.948,3,2,3,323
MH-18115,5,9,5503.093,4,4,4,444
MJ-17740,22,7,6320.746,4,3,4,434
MK-17905,28,8,2302.368,4,4,3,443
MK-18160,240,4,1031.602,1,1,1,111
ML-17395,69,9,2722.843,3,4,3,343
ML-17410,54,6,2921.5,3,3,3,333
ML-17755,29,7,2071.9139999999998,4,3,2,432
ML-18040,79,3,742.082,2,1,1,211
ML-18265,100,2,162.232,2,1,1,211
MM-17260,168,4,1314.023,2,1,2,212
MM-17920,7,11,3794.0800000000004,4,4,4,444
MM-18055,61,8,2749.881,3,4,3,343
MM-18280,85,9,775.414,2,4,1,241
MN-17935,34,6,2477.946,3,3,3,333
MO-17500,72,4,922.487,3,1,1,311
MO-17800,104,8,1687.0269999999998,2,4,2,242
MO-17950,180,2,154.288,2,1,1,211
MP-17470,719,7,3206.132,1,3,3,133
MP-17965,72,9,3983.6420000000003,3,4,4,344
MP-18175,16,9,5087.92,4,4,4,444
MR-17545,125,4,639.178,2,1,1,211
MS-17365,273,10,7443.6900000000005,1,4,4,144
MS-17530,434,4,475.65599999999995,1,1,1,111
MS-17710,413,6,1613.402,1,3,2,132
MS-17770,121,9,3144.678,2,4,3,243
MS-17830,452,4,370.348,1,1,1,111
MS-17980,26,6,855.116,4,3,1,431
MT-17815,49,6,2890.139,3,3,3,333
MT-18070,203,4,1319.4498,1,1,2,112
MV-17485,27,9,1560.05,4,4,2,442
MV-18190,19,7,1734.574,4,3,2,432
MW-18220,17,7,5341.900000000001,4,3,4,434
MW-18235,44,2,5253.876,3,1,4,314
MY-17380,29,7,2254.285,4,3,2,432
MY-18295,71,11,4152.696,3,4,4,344
MZ-17335,30,4,593.606,4,1,1,411
MZ-17515,282,6,2564.906,1,3,3,133
NB-18580,1165,2,273.87199999999996,1,1,1,111
NB-18655,19,9,1972.599,4,4,2,442
NC-18340,224,5,2461.404,1,2,3,123
NC-18415,41,6,2218.9900000000002,3,3,2,332
NC-18535,6,7,8241.739,4,3,4,434
NC-18625,204,5,1821.742,1,2,2,122
ND-18370,27,9,4326.139,4,4,4,444
ND-18460,183,6,2893.455,2,3,3,233
NF-18385,79,7,8322.826,2,3,4,234
NF-18475,525,4,377.16200000000003,1,1,1,111
NF-18595,114,7,2031.472,2,3,2,232
NG-18355,48,5,1869.58,3,2,2,322
NG-18430,48,5,1395.9379999999999,3,2,2,322
NH-18610,189,7,2673.29,1,3,3,133
NK-18490,70,7,572.048,3,3,1,331
NL-18310,58,4,1418.0900000000001,3,1,2,312
NM-18445,160,7,6459.344,2,3,4,234
NM-18520,244,10,2161.979,1,4,2,142
NP-18325,25,6,5529.62,4,3,4,434
NP-18670,58,5,3908.402,3,2,4,324
NP-18685,406,6,1228.698,1,3,2,132
NP-18700,138,7,7903.1825,2,3,4,234
NR-18550,210,5,2367.277,1,2,3,123
NS-18505,6,4,2575.863,4,1,3,413
NS-18640,174,13,2964.823,2,4,3,243
NW-18400,172,7,7234.014,2,3,4,234
NZ-18565,85,9,2488.31,2,4,3,243
ON-18715,410,9,1567.52,1,4,2,142
OT-18730,65,5,3818.624,3,2,4,324
PA-19060,103,6,729.408,2,3,1,231
PB-18805,25,3,740.356,4,1,1,411
PB-19105,57,4,688.324,3,1,1,311
PB-19150,97,8,1456.95,2,4,2,242
PB-19210,688,2,132.738,1,1,1,111
PC-18745,2,4,1832.064,4,1,2,412
PC-19000,882,2,1061.488,1,1,1,111
PF-19120,835,4,9062.864,1,1,4,114
PF-19165,196,6,2770.0,1,3,3,133
PF-19225,114,5,2206.1279999999997,2,2,2,222
